# seed=42
timestamp,zone_id,zone_name,temperature_C,setpoint_C,occupancy_count,hvac_mode,hvac_power_kW,lights_on,lighting_power_kW,total_energy_kWh
2026-05-27T00:00:00,zone_1,Office_A,21.1,22.0,0,heating,1.2,0,0.00,1.20
2026-05-27T00:00:00,zone_2,Conference_B,19.5,20.0,0,heating,1.0,0,0.00,1.00
2026-05-27T01:00:00,zone_1,Office_A,21.0,22.0,0,heating,1.1,0,0.00,1.10
2026-05-27T01:00:00,zone_2,Conference_B,19.4,20.0,0,heating,1.0,0,0.00,1.00
2026-05-27T02:00:00,zone_1,Office_A,20.8,22.0,0,heating,1.4,0,0.00,1.40
2026-05-27T02:00:00,zone_2,Conference_B,19.2,20.0,0,heating,1.2,0,0.00,1.20
2026-05-27T03:00:00,zone_1,Office_A,20.7,22.0,0,heating,1.5,0,0.00,1.50
2026-05-27T03:00:00,zone_2,Conference_B,19.1,20.0,0,heating,1.3,0,0.00,1.30
2026-05-27T04:00:00,zone_1,Office_A,20.6,22.0,0,heating,1.6,0,0.00,1.60
2026-05-27T04:00:00,zone_2,Conference_B,19.0,20.0,0,heating,1.4,0,0.00,1.40
2026-05-27T05:00:00,zone_1,Office_A,20.8,22.0,0,heating,1.4,0,0.00,1.40
2026-05-27T05:00:00,zone_2,Conference_B,19.2,20.0,0,heating,1.2,0,0.00,1.20
2026-05-27T06:00:00,zone_1,Office_A,21.5,22.0,1,heating,0.8,1,0.15,0.95
2026-05-27T06:00:00,zone_2,Conference_B,20.2,20.5,1,heating,0.6,1,0.12,0.72
2026-05-27T07:00:00,zone_1,Office_A,22.4,22.5,2,heating,0.5,1,0.18,0.68
2026-05-27T07:00:00,zone_2,Conference_B,21.0,21.5,2,heating,0.7,1,0.20,0.90
2026-05-27T08:00:00,zone_1,Office_A,22.9,23.0,3,heating,0.4,1,0.25,0.65
2026-05-27T08:00:00,zone_2,Conference_B,21.8,22.0,3,heating,0.3,1,0.28,0.58
2026-05-27T09:00:00,zone_1,Office_A,23.3,23.0,4,cooling,0.2,1,0.32,0.52
2026-05-27T09:00:00,zone_2,Conference_B,22.5,22.0,5,cooling,0.4,1,0.35,0.75
2026-05-27T10:00:00,zone_1,Office_A,23.6,23.0,4,cooling,0.5,1,0.35,0.85
2026-05-27T10:00:00,zone_2,Conference_B,23.0,22.5,6,cooling,0.6,1,0.40,1.00
2026-05-27T11:00:00,zone_1,Office_A,23.8,23.0,4,cooling,0.6,1,0.40,1.00
2026-05-27T11:00:00,zone_2,Conference_B,23.3,22.5,7,cooling,0.7,1,0.45,1.15
2026-05-27T12:00:00,zone_1,Office_A,24.1,23.5,4,cooling,0.7,1,0.45,1.15
2026-05-27T12:00:00,zone_2,Conference_B,23.7,23.0,8,cooling,0.9,1,0.50,1.40
2026-05-27T13:00:00,zone_1,Office_A,24.2,23.5,4,cooling,0.8,1,0.45,1.25
2026-05-27T13:00:00,zone_2,Conference_B,23.8,23.0,8,cooling,0.9,1,0.52,1.42
2026-05-27T14:00:00,zone_1,Office_A,24.0,23.5,4,cooling,0.7,1,0.42,1.12
2026-05-27T14:00:00,zone_2,Conference_B,23.6,23.0,7,cooling,0.8,1,0.48,1.28
2026-05-27T15:00:00,zone_1,Office_A,23.7,23.5,4,cooling,0.5,1,0.38,0.88
2026-05-27T15:00:00,zone_2,Conference_B,23.3,22.5,6,cooling,0.6,1,0.42,1.02
2026-05-27T16:00:00,zone_1,Office_A,23.4,23.5,3,off,0.0,1,0.35,0.35
2026-05-27T16:00:00,zone_2,Conference_B,22.9,22.5,5,cooling,0.4,1,0.40,0.80
2026-05-27T17:00:00,zone_1,Office_A,23.1,23.0,2,cooling,0.3,1,0.30,0.60
2026-05-27T17:00:00,zone_2,Conference_B,22.4,22.0,4,cooling,0.4,1,0.38,0.78
2026-05-27T18:00:00,zone_1,Office_A,22.6,22.0,2,cooling,0.5,1,0.33,0.83
2026-05-27T18:00:00,zone_2,Conference_B,21.8,21.5,3,heating,0.2,1,0.30,0.50
2026-05-27T19:00:00,zone_1,Office_A,22.2,22.0,1,off,0.0,1,0.28,0.28
2026-05-27T19:00:00,zone_2,Conference_B,21.4,21.5,2,heating,0.1,1,0.25,0.35
2026-05-27T20:00:00,zone_1,Office_A,21.8,22.0,1,heating,0.2,0,0.00,0.20
2026-05-27T20:00:00,zone_2,Conference_B,21.0,21.5,1,heating,0.4,0,0.00,0.40
2026-05-27T21:00:00,zone_1,Office_A,21.5,22.0,0,heating,0.3,0,0.00,0.30
2026-05-27T21:00:00,zone_2,Conference_B,20.7,21.5,0,heating,0.8,0,0.00,0.80
2026-05-27T22:00:00,zone_1,Office_A,21.3,22.0,0,heating,0.4,0,0.00,0.40
2026-05-27T22:00:00,zone_2,Conference_B,20.5,21.5,0,heating,1.0,0,0.00,1.00
2026-05-27T23:00:00,zone_1,Office_A,21.1,22.0,0,heating,0.5,0,0.00,0.50
2026-05-27T23:00:00,zone_2,Conference_B,20.4,21.5,0,heating,1.1,0,0.00,1.10
